date,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-07-22,20.26,66.50038723976297,3.69,17.4,21.09,12.517657101414038,6.98,0.73,5.52,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,79.05,0.59,138.94,,,132.96,992.72,0.09
2020-07-23,8.03,66.50038723976297,3.91,17.77,21.68,12.517657101414038,6.99,0.7,4.06,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,82.08,0.51,217.65,,,125.07,991.51,0.09
2020-07-24,7.78,66.50038723976297,4.22,17.39,21.6,12.517657101414038,6.98,0.75,2.89,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,89.31,0.47,234.19,,,87.3,985.58,0.08
2020-07-25,6.25,66.50038723976297,5.47,20.85,26.32,12.517657101414038,7.01,0.83,3.04,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,83.8,0.65,255.77,,,137.92,997.67,0.09
2020-07-26,7.99,66.50038723976297,3.99,16.95,20.11,12.517657101414038,7.0,0.81,3.45,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,81.71,0.72,263.16,,,123.02,986.48,0.07
2020-07-27,7.33,66.50038723976297,5.01,21.52,26.53,12.517657101414038,6.98,0.78,3.55,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,81.18,0.76,258.77,,,128.19,979.15,0.08
2020-07-28,6.27,66.50038723976297,7.53,29.36,36.89,12.517657101414038,7.03,0.93,2.53,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,78.89,0.57,251.59,,,133.62,995.83,0.07
2020-07-29,6.97,66.50038723976297,5.98,21.69,27.61,12.517657101414038,7.0,0.77,1.95,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,91.93,0.63,229.89,,,76.74,994.21,0.12
2020-07-30,4.37,66.50038723976297,5.5,18.68,24.17,12.517657101414038,7.01,0.81,2.37,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,86.57,0.61,252.47,,,116.5,989.13,0.09
2020-07-31,2.84,66.50038723976297,4.16,16.53,20.4,12.517657101414038,7.02,0.82,2.8,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,85.76,0.6,245.59,,,134.76,988.64,0.09
2020-08-01,31.86126885493773,66.50038723976297,4.03,13.64,17.18,12.517657101414038,6.99,0.87,2.28,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,88.48,0.73,251.23,,,106.16,990.26,0.11
2020-08-02,31.86126885493773,66.50038723976297,3.67,14.32,17.78,12.517657101414038,6.99,0.69,3.39,0.0,0.0,,,1.236758888508912,0.610732243847403,,85.65,0.85,242.78,,,121.57,986.28,0.11
2020-08-03,139.99,66.50038723976297,4.42,15.91,20.32,12.517657101414038,7.02,0.77,2.93,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,90.78,0.85,243.04,,,84.31,947.8,0.07
2020-08-04,17.37,66.50038723976297,5.04,17.86,22.89,12.517657101414038,6.98,0.74,4.65,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,91.36,0.96,249.84,,,75.84,740.53,0.04
2020-08-05,17.72,66.50038723976297,4.29,16.28,20.06,12.517657101414038,6.98,0.77,6.45,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,90.33,1.0,245.94,,,79.57,872.85,0.05
2020-08-06,20.6,66.50038723976297,4.27,17.82,20.79,12.517657101414038,7.01,0.77,4.82,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,88.3,0.95,246.21,,,120.05,923.66,0.03
2020-08-07,17.44,66.50038723976297,4.78,18.34,22.93,12.517657101414038,6.99,0.83,4.26,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,88.56,0.94,250.39,,,85.38,972.42,0.06
2020-08-08,18.93,66.50038723976297,5.31,19.84,24.81,12.517657101414038,7.0,0.81,4.18,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,87.55,0.94,254.05,,,101.95,980.02,0.09
2020-08-09,31.86126885493773,66.50038723976297,9.353286637509786,20.46737961921801,29.920258247604124,12.517657101414038,7.121397964461455,0.9356027728260664,25.824717936593693,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,72.07346080363907,0.7521627013410804,202.04433243041956,,,142.13311705329195,875.1160772622944,-0.0879960604151816
2020-08-10,31.86126885493773,66.50038723976297,9.353286637509786,20.46737961921801,29.920258247604124,12.517657101414038,7.121397964461455,0.9356027728260664,25.824717936593693,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,72.07346080363907,0.7521627013410804,202.04433243041956,,,142.13311705329195,875.1160772622944,-0.0879960604151816
